text,date,rating,has_official_reply,reactions_total
Интерьер оч красивый,21 декабря 2025,5,True,0
Күшті,21 декабря 2025,5,False,0
Нурик сессия кошырме,21 декабря 2025,5,False,0
нархоз 😍,21 декабря 2025,5,False,0
Кафе нету,20 декабря 2025,3,True,0
"Закончила здесь Бакалавр и магистратуру. Система платонус и канвас немного глючат, но преподаватели понимающие, адекватные. Условия хорошие здесь в этом университете ❤️ всем советую.
Закончила Экологию, хорошие знания получила, опыта набралась, смогла дальше продолжить карьеру, и поступить в докторантуру с теми знаниями которые получила здесь. Экзамен поступательный прошла без подготовки с имеющими знаниями. Дают хорошую базу.",19 декабря 2025,5,True,2
"Университет подняли уровень препадования, безопасности, сервиса, вперед и удачи Нархоз!",19 декабря 2025,5,True,3
"За почти три года обучения в университете образовательный процесс свёлся к постоянным сбоям в регистрации, повторяющимся языковым тестам с непрозрачными результатами и снятию студентов с дисциплин без внятных объяснений, в том числе в ГШ. Всё это стало не исключением, а нормой. Вместо чётких регламентов и ответственности управленческий хаос (а нас ещё пытаются учить менеджменту, ха). Кабинет 341 отдельный символ этого беспорядка.
Качество преподавательского состава вызывает серьёзные вопросы. За всё время обучения реальную образовательную ценность дали не более двух–трёх преподавателей. Остальные не совсем преподы вуза или даже совсем не, не заинтересованы в результате. Приглашённые практики нередко воспринимают занятия как развлекательный формат, а не как профессиональную работу со студентами.
Майнор, который по замыслу должен расширять академические и профессиональные горизонты, на практике оказался формальностью. ГШ не понимает специфику майоров. Студентов вынуждают выбирать дисциплины, содержание которых повторяет уже многократно пройденный материал. Фактически это имитация выбора и вариативности.
Особую тревогу вызывает работа КОКа ГШ. Официальные заявления студентов, поданные ещё в ноябре председателю КОКа ГШ до сих пор не рассмотрены и не получили никакого ответа. Вместо реальной работы со студентами на третьем этаже - имитация бурной деятельности: студентов привлекают к украшению холлов к Новому году, проведению показательных мероприятий и созданию красивой «картинки». При этом ключевые вопросы качества образования, организации учебного процесса и кадровой политики остаются без внимания.
В итоге университет функционирует в режиме имитации: имитации управления, имитации выбора, имитации образовательного качества. Знания здесь получают не благодаря выстроенной системе, а вопреки ей за счёт редких преподавателей, которые действительно выполняют свою профессиональную роль. Для студентов выпускного курса это не просто разочарование, а серьёзный сигнал о подмене приоритетов в высшем образовании. Ваши отзывы с липовыми пятерками ничего не изменят. Все всё прекрасно понимают.",18 декабря 2025,2,True,13
Здравствуйте всем сегодня 18.12.2025 возле шлагбаума университета Нархоз нашол короб от наушников 87028582223,18 декабря 2025,5,True,1
Поступайте в СХТ,17 декабря 2025,3,False,1
"2021 жылы грантпен осы универге түсіп қуанып едім қуанышым ұзаққа созылмай уже 1 курстың 1семестрінен ақ оқуға желанием қашып 1 курстан сон универден очисление жазып шығып кеттім . Универ ішінде сол кезде осы қиындықтар болып еді расписание тіркелу,почта, портал ол проблемалар әліге дейін шешілмегендігіне отвызтардан көзім жетіп отыр және эдвайзер деген менің ойымша дұрыс шешім емес жәнеде группа жоқ . Универге енді түскен студентке бағыт бағдар көрсетіп ережеді түсіндіретін адам жоқ . Удобства студенттерге емес преподтарға бағытталған секілді",16 декабря 2025,1,False,4
🩷,14 декабря 2025,5,True,0
Мое Лучшее решение в жизни ❤️‍🩹,13 декабря 2025,5,True,0
Кайф универ,12 декабря 2025,5,True,0
я сюда на борьбу прихожу кайф!,12 декабря 2025,5,False,0
"спасибо тебе, нархоз♥️",12 декабря 2025,5,False,0
"Легендарка, слишком топ, вне конкуренции",11 декабря 2025,5,True,0
"Университет МОГ бы иметь 4 звезды, но нет. УЖАСНЫЙ университет.
Чтобы вы понимали, поступила я в 22 году, когда сделали новый ремонт. С ТЕХ ПОР, ничего не изменилось. Практически все зарядные устройства НЕ работают, прожектора в ужасном состоянии, в некоторых кабинетах так и не починили «полотно» для прожектора.
С каждым годом цена повышается на университет, но качество нет. Преподавательский состав - скудный. Набирают свежих выпускников в роли преподавателей.
ПОСТУПАЮЩИЕ, не ведитесь на маркетинг. ЭТО ЕДИНСТВЕННОЕ КУДА они вкладывают деньги. Хотя бы выбрали бы актеров посимпатичней.
Рекламы и пустых обещаний больше, чем есть на самом деле.
4 ГОДА одна и та же проблема с Платонусом, с Канвасом, с Регистрацией. Ничего они не собираются исправлять. Паленые платформы.
И главное. Школа составляет вам ИУП. Вы строго следуете по нему, а потом выясняется что вы должны были следовать по другому ИУПу и делают виноватым вас. Я с 27 августа не видела дисциплины «Python” для регистрации. 30 числа он появился, но места были заняты. В тот же день я обратилась по почте к Гульзат Талгат, которая должна была помочь мне в данном вопросе. С 30 августа она перенаправила меня на других коллег и все молчали. Пока сегодня я не написала снова и меня перенаправили к эдвайзерам на очередь. Студенты как могут, так и выкручиваются. Они сохраняют ссылку для регистрации очереди чтобы занять очередь на следующий день. Сегодня с 9 утра УЖЕ было свыше 200 человек. На данный момент, 14:05 время, из 210 человек осталось 151 человек в очереди.
К ТОМУ ЖЕ, Университет ввел новое правило «Если Вы не пройдете регистрацию в указанный период, в период с 08 сентября по 13 сентября 2025 года Вам будет доступна поздняя регистрация на дисциплины на платной основе. В соответствии с утвержденными тарифами стоимость составляет 30 000 тенге за дисциплину»
Университет обязан заранее и прозрачно информировать студентов об условиях договора об оказании образовательных услуг. Его нет в договоре, ни в академ политике.",11 декабря 2025,1,False,51
Арсен күшті және мықты эдвайзер! Көп көмек көрсетті!,11 декабря 2025,5,False,0
"Арсен эдвайзер өз жұмысын өте жақсы атқарады, сұрағыма толық жауап алдым, барынша көмектеседі",11 декабря 2025,5,False,0
Арсен топ эдвайзер. Барлық сұрақтарыңа көмектеседі.🔥,11 декабря 2025,5,False,0
"Айсана мениЖансұлу деген эдвайзерлерге үлкен алғыс! Өз жұмыстарының профессионалдары. Жұмыстарын тез және жақсы атқарады. Әрдайым күліп қарлы алады. Эдвайзердің көмегі керек болып әрдайым келіп немесе онлайн сұрап тұрамын. Сервис өте жақсы деңгейде
Студент ШПиГУ Темиргалиев Елдос Жанатович.",10 декабря 2025,5,False,0
🚩,10 декабря 2025,5,False,0
"Молодцы Нархоз!!!Про вас пишут в Тредс!!!Намысы бар Университет!!!
Огромный Рахмет руководству!!!",10 декабря 2025,5,True,0
"Охранники ужасно грубые, совсем нетактичные и некомпетентные. Мама шла с легкой улыбкой, счастливая здоровается с охранником, а он ей очень грубо ответил, что она идет ржет, и вместо того чтобы улыбаться и ржать пусть лучше скажет куда она направляется. При том что всех людей до нас и после нас он молча пропустил. Видимо ему радости в жизни не хватает раз его выбесило счастливое лицо. Тщательнее подбирайте сотрудников, а то они оказывают максимальное неуважение к студентам, к их родителям, к абитуриентам. К кому не обратишься - никто ничего не знает, в приемной комиссии одни студенты сидели, которые тоже ничего не знали. Эл. почта - единственный способ связи, что оочень неудобно.
Нагрузка бешеная. Но единственное, что радует, это то, что дают хорошие знания, качество образования высокое и из университета выходят хорошими специалистами.",9 декабря 2025,2,True,4
Очень круто ❤️,8 декабря 2025,5,True,0
"1 курстан университеттегі жүйені түсінбей, қиналып, кімнен, қай жерден нені сұрау керек екенін білмей жүрген кезімде Дюхан Арсен үнемі көмек қолын созатын. Әрбір студенттің сұрақтарын ерінбей жауап беретін. Университеттегі өмірімді жеңілдеткен Дюхан Арсенге рақметімді айтқым келеді. Әрдайым өз кеңестерін айтып, қолдау білдіретін біздің старшагымыз 🫶🫶 Әрбір шцт студенті бірінші кезекте эдвайзерден емес, любой сұрақты Арсеннен сұрайтын",8 декабря 2025,5,False,0
Осы универде оқу арманым,7 декабря 2025,5,False,0
Удивительно приятное место! Только пятой точке больно после экзаменов 😍🥰😘,5 декабря 2025,5,False,1
"+ очень классный контингент людей,все очень разные и интересные. много иностранцев и граждан рф
+ кампус топ
+ бесплатная вода в фонтанчиках
+ вроде как нет коррупции

- огромная проблема с регистрацией на дисциплины, 1 семестр еще не закончился,а я уже думаю как это все опять проходить в январе…
- канвас не оригинальный🥲 за что мы (платники) платим такие деньги,чтоб он работал еле еле?канвас=канавас.
- когда регаешься на предметы,хочется понимать к кому ты регаешься. гуглишь имя препода,а там ну…ничего. это иллюзия выбора и лотерея. попадешь к тому к кому попадешь. или дай бог у кого-то узнаешь норм препод или нет. опять же,у всех студентов разные предпочтения,но если единственный отзыв это «препод норм» непонятно, какая программа,какая направленность и тд. было бы круто если в платонусе при регистрации была бы ссылка на силлабус преподавателя",4 декабря 2025,3,True,2
Классный кампус,4 декабря 2025,5,True,0
Өмірі көтермейді ! Автоответчик тұрады не рабоч время деп ! Сөйлесу невозможно !,4 декабря 2025,1,False,1
Выступали 16.11.25. Сцена очень большая. Нархоз очень красивый и большой университет,4 декабря 2025,5,True,0
прикольное название,3 декабря 2025,5,False,1
"Проводили мероприятие в Актовом зале, зал большой, акустика отличная, специалисты ответственные за аппаратуру ПРОФЕССИОНАЛЫ, мастера своего дела!",1 декабря 2025,5,True,0
прикольно внутри,30 ноября 2025,4,True,0
"Тепло ХАБ самые лучшие сотрудницы, самые красивые, позитивные. Приходишь как домой, всегда самые добрые. Мы вас любим!!! ЛУЧШАЯ КОФЕЙНЯ НАРХОЗ, всех друзей сюда водим. Все травятся вокруг, а тут всегда все свежее и вкусное. Крутой панини, донер, хот дог с охотничей сосиской.",27 ноября 2025,5,False,2
"Эдвайзер Арсен хорошо помог. Хорошо знает свою работу, помогает по всем вопросам👍👌",26 ноября 2025,5,False,5
"Работаю в Университете Нархоз более 20 лет. Это один из самых лучших вузов. Руководство вуза и Гуманитарной Школы всегда поддерживающее и уважительное. За 20 лет работы ощущала только комфортные и теплые отношения в коллективе. Декан Айгуль Сейтжановна - перспективный, коммуникабельный, молодой ученый. Система управления понятная и прозрачная. Спасибо!",26 ноября 2025,5,False,10
"Самое лучшее место работы, новый декан Гуманитарной школы- авторитетный и порядочный человек. С большим опытом исследовательской деятельности и знанием языков, стипендиант Болашак, победитель конкурсов научных проектов МНи ВО РК и это только начало. Всех у кого есть пожелания спокойно выслушает и объяснит. Поэтому прошу всех у кого есть вопросы обращаться в деканат лично, а не писать сомнительные вещи в ту гис и вводить в заблуждение аудиторию.",26 ноября 2025,5,False,10
Айсана Ербулатқызы күшті эдвайзер. Всегда студентам помогает,25 ноября 2025,5,False,2
"Университет керемет!🤩👍 Эдвайзерлер әрқашан көмектеседі, Диана Ерниязқызы, Арсен Бекмуханбетович и Айсана Ербулаткызы the best!",25 ноября 2025,5,False,2
"хочу сказать спасибо эдвайзерше Баталова Айсане, лучшая сразу помогает со всеми вопросами 🙏🏻🫶🏻",25 ноября 2025,5,False,1
🤍🤍🤍,24 ноября 2025,5,False,1
"В библеотеке невозможно заниматься, шумят, а библеотекершам тотально все равно",22 ноября 2025,1,True,2
Ну красива,20 ноября 2025,5,False,0
Понравилось дизайн,15 ноября 2025,5,True,0
"Жалпы академиялық сұрақтарыма,регистрацияға көмектескен Офис-Регистраторларға особенно Дюхан Арсенге,Ерниязқызы Дианаға,Баталова Айсана,Скакова Салтанат апайларым мен ағайыма көп көп рақмет🫶🏻
Өте өте ризамын❤️‍🔥",12 ноября 2025,5,False,3
"Прекратите уборку территории университета Нархоз с применением шумной техники (трактор, воздуходувки и т.п.) в утренние часы!

Нарушение тишины с 22 до 9 часов утра в будние, с 23 до 10 часов утра в выходные и праздничные дни влечет штраф на субъектов крупного предпринимательства в размере ста месячных расчетных показателей согласно Кодекса РК Об административных правонарушениях, Статья 437.",11 ноября 2025,1,True,0
Хороший университет,10 ноября 2025,1,True,0
Поступил),10 ноября 2025,5,True,2
Очень хороший университет в сумерках города. Эдвард оценил. Теперь мы коллективно ждем Беллу и стипендию.,10 ноября 2025,5,True,3
"Баталова Айсана Ербулаткызы и Диана Ерниязкызы лучшие эдвайзеры, помогали со всеми вопросами в университете.",10 ноября 2025,5,False,1
😍😍😍,9 ноября 2025,5,False,0
Высший,9 ноября 2025,5,True,0
"Әдемі , всё новое , даже общага , ходили на экскурсию , презентация учебы и все понравилось. Я думаю это одна из лучших мест для выбора своего университета , как и СДУ",8 ноября 2025,5,True,0
Очень качественный ремонт,7 ноября 2025,5,False,0
Чисто аккуратно просторно,6 ноября 2025,5,False,0
"О наболевшем. В работе деканата гуманитарной школы наблюдаются системные нарушения принципов академической этики и профессиональной справедливости. Руководители подразделения демонстрируют мстительность и завистливость по отношению к коллегам, что выражается в злоупотреблении служебным положением и неравномерном распределении ресурсов.

Особую тревогу вызывает практика привлечения к преподавательской деятельности лиц, не обладающих необходимой квалификацией, но связанных с руководством родственными или личными отношениями. При этом указанным сотрудникам устанавливается необоснованно высокая заработная плата, что подрывает мотивацию квалифицированных преподавателей и наносит ущерб репутации вуза.

Подобная кадровая политика создаёт атмосферу недоверия, снижает качество образовательного процесса и препятствует формированию здорового профессионального коллектива. Необходимо проведение независимой проверки, направленной на восстановление принципов прозрачности, академической добросовестности и справедливого распределения ответственности и поощрений. Рассчитываем на вмешательство провоста Е. Шуланова и вышестоящего руководства, примите меры!",5 ноября 2025,2,True,22
"Есть и свои плюсы, и минусы, но я всё равно люблю свой университет — нашу alma mater 🫶🏻",4 ноября 2025,5,False,0
жирный кент тут учиться,3 ноября 2025,5,False,0
Был концерт от центра Ммденс а так хорошо интерьер и мебель,3 ноября 2025,5,False,0
Іші сұмдық керемет екен👍🏻2ретте барар едім,3 ноября 2025,5,False,0
"Отличный, современный университет! Мне очень понравился.",1 ноября 2025,5,False,0
Всем салам алейкум в след году приеду Алла жаса в этот университет есть кто учится на Юриспруденция?,31 октября 2025,5,False,0
Прикольео мне понравилось чисто и уютно красиво,25 октября 2025,5,False,0
Керемет оқу орны бұл жерде менің ұлым оқиды,24 октября 2025,5,False,2
Арсен ТОП. самый лучший эдвайзер.,23 октября 2025,5,False,4
Нархоз Университетіне Арсен секілді эдвайзер үшін алғыс білдіремін.ШЭМ әкімшілігіне де рахмет!,23 октября 2025,5,False,2
Родной НАРХОЗ стал еще круче!!! Сейчас ходим в бассейн.,23 октября 2025,5,True,0
"Хочу сказать большое спасибо отделу кадров Нархоза за отзывчивость, внимательность",22 октября 2025,5,False,2
"Құрметті Алмагүл Махмудовна және Мадина апай!
Сіздерге шын жүректен алғысымды білдіремін! 🌸
Кадр бөлімі тарапынан көрсетілген қолдау, жауапкершілік және әрбір қызметкерге деген ілтипат ерекше қуантады. Сіздердің кәсіби біліктіліктеріңіздің, сабырлылық пен адамгершіліктің арқасында барлық ұйымдастыру және құжаттық жұмыстар уақытылы әрі сапалы атқарылады.
Ұжымға осындай жылы атмосфера мен сенімді қарым-қатынас орнатқандарыңыз үшін үлкен рахмет!
Жұмыстарыңызға табыс, отбасыларыңызға амандық, алдағы уақытта кәсіби жетістіктер тілеймін!",22 октября 2025,5,False,2
Біздің HR қызметкер өте керемет жұмыс жасайды! Алмагүл апай мен Мадина апайға үлкен рақмет! Организация топ! Бүкіл сұрақтарға жауап береді💕💕💕💕🩷🩷🩷✨✨✨✨😘😘😘😘😘 Сыйлықтар үшін үлкен рақмет🫶🏻🩷,22 октября 2025,5,False,1
Сам уивер классный но нету актового зала,20 октября 2025,4,True,0
Ю,18 октября 2025,5,False,0
Супер колледж,18 октября 2025,5,True,1
Әдемі,17 октября 2025,5,False,0
ну такое,15 октября 2025,3,False,3
Университет мечты была там только один раз но хочется ещё есть всё для комфортной учебы,12 октября 2025,4,False,0
"Я окончила университет в этом году и вернулась, чтобы забрать документы. Для этого нужно было обойти все кабинеты и собрать подписи.
Во-первых, многие сотрудники отсутствовали на рабочих местах. Я специально приехала утром, но на вопрос, где можно найти конкретного сотрудника, коллеги отвечали одинаково: «Не знаю, не спрашивайте». Возможно, кто-то действительно не владеет информацией, но создаётся впечатление, что просто не хотят помочь. Хотя бы можно было подсказать номер телефона или направление. В целом отношение оставляет желать лучшего.
Отдельно отмечу отдел аккредитации (Рашида Низамдинова). Я ждала её около трёх часов: дверь закрыта, никто не знал, где она. В итоге все подписи я собрала, но из-за её отсутствия документы получить не смогла и была вынуждена вернуться домой ни с чем.
Во-вторых, Центр карьеры (Ордаханова М.). Она начала задавать вопросы, где я учусь или работаю, ссылаясь на некую рассылку. Я понимаю, что данные могут собираться для статистики, но мне заявили, что я «обязана» их предоставлять. Хочу подчеркнуть: я училась на платной основе и никому ничего не обязана. Недопустимо разговаривать в таком тоне и угрожать отказом в подписи. Чтение писем или отказ от них - это моё право.
В-третьих, работа эдвайзеров. Я заняла очередь через QR-код, система показала двух человек передо мной, но фактически сидели четверо. Сайт выдавал ошибки и не обновлялся, поэтому пришлось идти без очереди. Тратить час ради одной подписи в такой ситуации я не собираюсь.
За время обучения проблем было немало. Нам обещали, что стоимость не изменится (900 тыс.), но каждый год она росла - более миллиона, а в последний год почти полтора. Летом постоянно возникали сложности с расписанием, сайт не работал, были сбои.
За четыре года ситуация так и не улучшилась. Для университета подобного уровня это показатель крайне неудовлетворительной организации работы.
Спасибо за внимание.",11 октября 2025,1,True,19
"Не знаю, насчет образования. Но очень красивый вуз 💌",9 октября 2025,5,False,0
Отличный университет. Отличные преподаватели. Все супер,6 октября 2025,5,True,0
SDU лучше,6 октября 2025,3,False,10
нифиговый концик,6 октября 2025,4,False,0
"Вчера была приглашена на круглый стол в Нархоз. Университет оставил положительные впечатления: современная площадка, комфортная атмосфера для обсуждений и обмена идеями.",3 октября 2025,5,True,0
Перекурска калдырып тастады,3 октября 2025,4,False,0
Дисциплина чистота уют вежливост персонала,3 октября 2025,5,False,0
"Университет в принципе хороший я бы даже сказал отличный, но есть только один минус который не понравился. Это абсолютно не приветливые и грубые сотрудники охраны. Общаются со студентами в таком тоне будто они никто. Остался этим недоволен.",29 сентября 2025,4,True,0
Хабтағы отыратын жердің шаңын сүртіп қойыңыздаршы🙏🏻,27 сентября 2025,5,False,1
"Я в полном восторге) Новое полностью здание,просто фантастика! Захотелось снова здесь учиться) я закончила этот Вуз 43 года назад)",22 сентября 2025,5,True,0
"Здравствуйте я студентка 2 курса Медведева Алиса Кургеновна
Хотелось бы обратиться в руководство университета по данному мною вопросу
28 августа я заселилась в общежитии по адресу Саина Улугбека так называемое ДС -3
Дело в том что в данном общежитии отсутствует интернет которым должно быть обспечено со стороны Университета . Уже месяц будет как мы заселились , и живем в общежитии без тарифа трача свой мегабайт и тариф который заканчивается очерь быстро . Теперь у меня вопрос когда будет решен данный вопрос ? Почему вы не делаете удобство по обеспечиванию интернета для студентов ? И почему тянете время ? Такое чувство будто лапшу на уши вешаете уже меясц будет как студенты заселились. Если не решится то мы как студенты будем жаловаться в Министерство Образования",22 сентября 2025,1,False,12
